#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
5.0%	1000	-28539.009462245973	300.41376653559865	0	--
10.0%	2000	-28795.618816271395	307.5568542828044	129	0:24
15.0%	3000	-29233.921659113694	298.74188828595095	130	0:22
20.0%	4000	-29651.16905727226	298.4334733791634	129	0:21
25.0%	5000	-29954.954902964237	302.53849106470113	129	0:20
30.0%	6000	-29735.83574957619	310.00859299122453	109	0:22
35.0%	7000	-29942.44507835171	292.4603979206953	112	0:20
40.0%	8000	-29961.33636916653	305.80100739857556	114	0:18
45.0%	9000	-29866.476363640453	309.7785114755656	115	0:16
50.0%	10000	-29981.379444927326	305.4123888220654	116	0:14
55.0%	11000	-30001.5223807852	308.0631650884356	117	0:13
60.0%	12000	-30109.90718686441	305.04183828448083	118	0:11
65.0%	13000	-29970.010065790644	307.2697426280615	118	0:10
70.0%	14000	-29755.761272602278	299.86820678600236	119	0:08
75.0%	15000	-29960.624080213223	289.12873207632873	119	0:07
80.0%	16000	-30108.723044614977	295.12430374436775	120	0:05
85.0%	17000	-30293.651754269697	289.6172734613787	120	0:04
90.0%	18000	-30187.99913725388	295.30022807227937	121	0:02
95.0%	19000	-30398.70893587958	299.8360692348311	121	0:01
100.0%	20000	-30160.60609615114	299.12999112248144	121	0:00
105.0%	21000	-29977.415110344853	302.9222777666563	122	23:59:59
110.0%	22000	-30251.49785843576	305.20263155779924	122	23:59:58
115.0%	23000	-30022.425464289583	307.62823293018573	122	23:59:56
120.0%	24000	-30060.475123517186	303.6691210252459	122	23:59:55
125.0%	25000	-30052.71676012443	301.8388875097844	122	23:59:53
130.0%	26000	-30191.933629096806	298.66315208552163	122	23:59:52
135.0%	27000	-30160.124925428856	291.45400476151013	123	23:59:51
140.0%	28000	-30290.7967239219	295.2397495462928	123	23:59:49
145.0%	29000	-30255.017792397965	307.65316448186684	123	23:59:48
150.0%	30000	-30130.41803774613	305.6990145273533	123	23:59:46
155.0%	31000	-30245.22231389786	295.1676364351497	123	23:59:45
160.0%	32000	-30249.859742303233	302.1369053188391	123	23:59:44
165.0%	33000	-30220.79234207986	306.7945322132485	123	23:59:42
170.0%	34000	-30051.639741349645	301.246211068261	123	23:59:41
